population,median_income,median_age,pov_status_universe_total,num_below_pov_level,pop_over_25,num_with_bachelors,num_with_masters,num_with_doctorate,num_with_associates,num_with_professional_degree,county,fips,poverty_rate_pct,bachelors_or_higher,pct_higher_ed
1773767.0,59521.0,37.8,1755183.0,353134.0,1204462.0,195928.0,96303.0,11789.0,102527.0,19829.0,Wayne,163,20.1,323849.0,26.9
1272294.0,95296.0,41.2,1260613.0,96989.0,911236.0,258455.0,147757.0,16895.0,74938.0,34408.0,Oakland,125,7.7,457515.0,50.2
368394.0,87156.0,34.8,349080.0,48323.0,235668.0,63851.0,45780.0,15349.0,15761.0,12015.0,Washtenaw,161,13.8,136995.0,58.1
877624.0,76399.0,41.1,869449.0,85357.0,625998.0,109806.0,47509.0,4136.0,68635.0,8628.0,Macomb,099,9.8,170079.0,27.2
195143.0,101315.0,43.8,193739.0,9525.0,139858.0,37008.0,14423.0,1164.0,13945.0,2230.0,Livingston,093,4.9,54825.0,39.2
88703.0,76228.0,44.6,87021.0,8509.0,64087.0,8526.0,3415.0,251.0,6843.0,500.0,Lapeer,087,9.8,12692.0,19.8
160089.0,69349.0,44.3,158248.0,17388.0,115061.0,14712.0,6986.0,457.0,14220.0,1232.0,St. Clair,147,11.0,23387.0,20.3
